eje_x,aspirin_ftir,aspirin_raman
1052,0.0023185543717138,
1053,0.0023171650821772,
1054,0.002315132715971,
1055,0.0023124589747425,
1056,0.0023091460938974,
1057,0.0023051968395593,
1058,0.0023006145048002,
1059,0.0022954029051503,
1060,0.0022895663733968,
1061,0.0022831097536805,
1062,0.0022760383949036,
1063,0.0022683581434611,
1064,0.0022600753353105,
1065,0.0022511967873958,
1066,0.0022417297884426,
1067,0.002231682089142,
1068,0.0022210618917439,
1069,0.002209877839079,
1070,0.0021981390030315,
1071,0.0021858548724852,
1072,0.0021730353407659,
1073,0.002159690692605,
1074,0.0021458315906497,
1075,0.0021314690615446,
1076,0.0021166144816131,
1077,0.0021012795621646,
1078,0.0020854763344562,
1079,0.0020692171343371,
